ordinal;breakdown;lane;rank;heat;points;scoredisplay;time;workoutrank;competitorid;Number of Records
1;100 pts;26;1;3;100;15:07,7;15:07,7;1;153604;1
2;100 pts;20;1;2;100;05:37,0;05:37,0;1;153604;1
3;68 pts;25;17;1;68;25:50,1;25:50,1;17;153604;1
4;40 pts;10;21;2;40;01:50,1;01:50,1;21;153604;1
5;96 pts;8;2;2;96;675 rep;675;2;153604;1
6;30 pts;2;15;1;30;6 pt;6;15;153604;1
7;100 pts;6;1;1;100;15:36,6;15:36,6;1;153604;1
8;100 pts;9;1;1;100;380.0 lb;380;1;153604;1
9;60 pts;2;5;1;60;29:04,7;29:04,7;5;153604;1
10;90 pts;4;2;2;90;03:49,5;03:49,5;2;153604;1
11;100 pts;4;1;2;100;03:06,9;03:06,9;1;153604;1
12;100 pts;5;1;1;100;08:05,8;08:05,8;1;153604;1
1;70 pts;46;16;3;70;17:02,1;17:02,1;16;2725;1
2;88 pts;28;7;2;88;06:13,0;06:13,0;7;2725;1
3;54 pts;28;24;1;54;26:27,8;26:27,8;24;2725;1
4;97 pts;7;2;2;97;01:28,4;01:28,4;2;2725;1
5;100 pts;9;1;2;100;677 rep;677;1;2725;1
6;90 pts;1;3;1;90;18 pt;18;3;2725;1
7;90 pts;5;2;1;90;16:35,9;16:35,9;2;2725;1
8;60 pts;10;5;1;60;355.0 lb;355;5;2725;1
9;80 pts;1;3;1;80;27:45,7;27:45,7;3;2725;1
10;70 pts;3;4;2;70;04:06,8;04:06,8;4;2725;1
11;60 pts;3;5;2;60;03:32,0;03:32,0;5;2725;1
12;90 pts;6;2;1;90;08:10,0;08:10,0;2;2725;1
1;94 pts;25;4;3;94;16:08,5;16:08,5;4;81616;1
2;45 pts;22;30;2;45;07:00,2;07:00,2;30;81616;1
3;70 pts;31;16;1;70;25:49,4;25:49,4;16;81616;1
4;46 pts;14;19;2;46;01:49,7;01:49,7;19;81616;1
5;68 pts;13;9;2;68;598 rep;598;9;81616;1
6;95 pts;8;2;1;95;19 pt;19;2;81616;1
7;80 pts;7;3;1;80;16:42,7;16:42,7;3;81616;1
8;70 pts;8;4;1;70;365.0 lb;365;4;81616;1
9;70 pts;3;4;1;70;28:15,0;28:15,0;4;81616;1
10;80 pts;2;3;2;80;03:55,7;03:55,7;3;81616;1
11;90 pts;2;2;2;90;03:15,6;03:15,6;2;81616;1
12;80 pts;4;3;1;80;08:22,8;08:22,8;3;81616;1
1;96 pts;21;3;3;96;16:06,0;16:06,0;3;34796;1
2;90 pts;19;6;2;90;06:10,1;06:10,1;6;34796;1
3;20 pts;26;41;1;20;27:57,7;27:57,7;41;34796;1
4;61 pts;6;14;2;61;01:45,7;01:45,7;14;34796;1
5;88 pts;5;4;2;88;645 rep;645;4;34796;1
6;70 pts;4;7;1;70;14 pt;14;7;34796;1
7;50 pts;4;6;1;50;19:05,5;19:05,5;6;34796;1
8;90 pts;7;2;1;90;375.0 lb;375;2;34796;1
9;30 pts;4;8;1;30;32:40,8;32:40,8;8;34796;1
10;50 pts;5;6;2;50;04:35,3;04:35,3;6;34796;1
11;80 pts;5;3;2;80;03:25,9;03:25,9;3;34796;1
12;70 pts;7;4;1;70;08:35,6;08:35,6;4;34796;1
1;90 pts;31;6;2;90;16:21,2;16:21,2;6;16080;1
2;94 pts;23;4;2;94;06:08,1;06:08,1;4;16080;1
3;92 pts;24;5;1;92;24:47,9;24:47,9;5;16080;1
4;30 pts;11;26;2;30;01:52,7;01:52,7;26;16080;1
5;22 pts;7;23T;2;22;515 rep;515;23T;16080;1
6;60 pts;6;9;1;60;12 pt;12;9;16080;1
7;60 pts;2;5;1;60;17:17,5;17:17,5;5;16080;1
8;40 pts;5;7;1;40;345.0 lb;345;7;16080;1
9;90 pts;5;2;1;90;27:22,9;27:22,9;2;16080;1
10;100 pts;1;1;2;100;03:47,2;03:47,2;1;16080;1
11;30 pts;1;8;2;30;04:45,0;04:45,0;8;16080;1
12;20 pts;3;9;1;20;10:58,7;10:58,7;9;16080;1
1;76 pts;27;13;3;76;16:47,9;16:47,9;13;199938;1
2;82 pts;14;10;2;82;06:23,6;06:23,6;10;199938;1
3;90 pts;29;6;1;90;24:55,3;24:55,3;6;199938;1
4;24 pts;9;29;2;24;01:59,0;01:59,0;29;199938;1
5;92 pts;6;3;2;92;660 rep;660;3;199938;1
6;20 pts;3;17;1;20;4 pt;4;17;199938;1
7;70 pts;1;4;1;70;17:07,0;17:07,0;4;199938;1
8;30 pts;6;8;1;30;335.0 lb;335;8;199938;1
9;40 pts;6;7;1;40;31:16,5;31:16,5;7;199938;1
10;60 pts;4;5;1;60;04:27,1;04:27,1;5;199938;1
11;70 pts;4;4;1;70;03:29,7;03:29,7;4;199938;1
12;40 pts;8;7;1;40;09:02,0;09:02,0;7;199938;1
1;35 pts;5;40;3;35;19:21,2;19:21,2;40;660204;1
2;31 pts;18;44;1;31;07:27,5;07:27,5;44;660204;1
3;66 pts;2;18;1;66;25:53,2;25:53,2;18;660204;1
4;100 pts;2;1;1;100;01:27,3;01:27,3;1;660204;1
5;84 pts;8;5;1;84;622 rep;622;5;660204;1
6;85 pts;9;4;1;85;17 pt;17;4;660204;1
7;40 pts;8;7;1;40;19:14,5;19:14,5;7;660204;1
8;20 pts;4;9;1;20;325.0 lb;325;9;660204;1
9;100 pts;8;1;1;100;25:12,3;25:12,3;1;660204;1
10;40 pts;3;7;1;40;04:39,1;04:39,1;7;660204;1
11;20 pts;3;9;1;20;04:59,0;04:59,0;9;660204;1
12;50 pts;2;6;1;50;08:57,5;08:57,5;6;660204;1
1;52 pts;45;25;3;52;17:47,7;17:47,7;25;698182;1
2;70 pts;8;16;2;70;06:36,4;06:36,4;16;698182;1
3;72 pts;35;15;1;72;25:42,4;25:42,4;15;698182;1
4;82 pts;4;7;2;82;01:40,0;01:40,0;7;698182;1
5;56 pts;10;12;2;56;577 rep;577;12;698182;1
6;40 pts;5;13T;1;40;8 pt;8;13T;698182;1
7;30 pts;10;8;1;30;CAP+6;CAP+6;8;698182;1
8;80 pts;2;3;1;80;365.0 lb;365;3;698182;1
9;10 pts;7;10;1;10;35:52,2;35:52,2;10;698182;1
10;30 pts;5;8;1;30;04:41,3;04:41,3;8;698182;1
11;50 pts;5;6;1;50;03:37,8;03:37,8;6;698182;1
12;60 pts;9;5;1;60;08:52,8;08:52,8;5;698182;1
1;62 pts;11;20;3;62;17:11,4;17:11,4;20;310970;1
2;64 pts;30;19;2;64;06:42,9;06:42,9;19;310970;1
3;10 pts;17;46;1;10;28:52,9;28:52,9;46;310970;1
4;79 pts;17;8;1;79;01:40,4;01:40,4;8;310970;1
5;72 pts;5;8;1;72;600 rep;600;8;310970;1
6;100 pts;18;1;1;100;20 pt;20;1;310970;1
7;10 pts;9;10;1;10;CAP+134;CAP+134;10;310970;1
8;50 pts;1;6;1;50;355.0 lb;355;6;310970;1
9;50 pts;9;6;1;50;29:35,4;29:35,4;6;310970;1
10;20 pts;2;9;1;20;04:41,7;04:41,7;9;310970;1
11;40 pts;2;7;1;40;03:42,2;03:42,2;7;310970;1
12;30 pts;1;8;1;30;10:06,6;10:06,6;8;310970;1
1;74 pts;26;14;2;74;16:49,5;16:49,5;14;35627;1
2;29 pts;27;46;2;29;07:38,6;07:38,6;46;35627;1
3;52 pts;14;25;1;52;26:37,1;26:37,1;25;35627;1
4;94 pts;7;3;1;94;01:30,1;01:30,1;3;35627;1
5;76 pts;2;7;2;76;615 rep;615;7;35627;1
6;80 pts;7;5;1;80;16 pt;16;5;35627;1
7;20 pts;3;9;1;20;CAP+113;CAP+113;9;35627;1
8;10 pts;3;10;1;10;0.0 lb;0;10;35627;1
9;20 pts;10;9;1;20;33:35,5;33:35,5;9;35627;1
10;10 pts;1;10;1;10;05:02,6;05:02,6;10;35627;1
11;10 pts;1;10;1;10;CAP+40;CAP+40;10;35627;1
12;10 pts;10;10;1;10;CAP+90;CAP+90;10;35627;1
1;88 pts;23;7;3;88;16:24,3;16:24,3;7;153625;1
2;42 pts;17;33;2;42;07:02,0;07:02,0;33;153625;1
3;48 pts;18;27;1;48;26:47,6;26:47,6;27;153625;1
4;85 pts;2;6;2;85;01:39,2;01:39,2;6;153625;1
